Date,Open,High,Low,Close,Adj Close,Volume
2021-08-18,228.110001,228.830002,226.059998,226.250000,223.142456,3194100
2021-08-19,224.720001,226.820007,224.399994,226.080002,222.974808,3964500
2021-08-20,226.320007,228.190002,226.020004,228.110001,224.976929,2655100
2021-08-23,229.070007,230.740005,228.779999,230.320007,227.156586,3180600
2021-08-24,230.860001,231.410004,230.669998,231.139999,227.965317,2772300
2021-08-25,231.389999,232.020004,230.979996,231.800003,228.616226,2897000
2021-08-26,231.619995,231.789993,230.160004,230.250000,227.087540,3352000
2021-08-27,230.800003,232.940002,230.669998,232.729996,229.533463,3749800
2021-08-30,233.220001,233.970001,232.800003,233.610001,230.401398,3194000
2021-08-31,233.559998,233.630005,232.770004,233.169998,229.967438,3099400
2021-09-01,233.820007,234.210007,233.250000,233.580002,230.371811,3533100
2021-09-02,234.309998,234.649994,233.679993,234.369995,231.150925,3274600
2021-09-03,234.000000,234.500000,233.630005,234.289993,231.072037,2484200
2021-09-07,234.289993,234.300003,233.020004,233.279999,230.075912,3256800
2021-09-08,233.009995,233.259995,231.589996,232.729996,229.533463,3027600
2021-09-09,232.669998,233.649994,231.750000,231.919998,228.734589,3265900
2021-09-10,233.029999,233.190002,229.960007,230.080002,226.919876,3385600
2021-09-13,231.509995,231.740005,229.330002,230.600006,227.432739,3312700
2021-09-14,231.410004,231.490005,228.619995,229.210007,226.061813,3158900
2021-09-15,229.419998,231.339996,228.720001,231.100006,227.925858,2598900
2021-09-16,230.940002,231.520004,229.300003,230.889999,227.718750,2537200
2021-09-17,230.539993,230.830002,228.649994,229.039993,225.894165,3078200
2021-09-20,225.509995,226.309998,222.309998,225.070007,221.978683,7749300
2021-09-21,226.509995,227.029999,224.460007,225.050003,221.958939,4564400
2021-09-22,226.330002,228.429993,225.830002,227.320007,224.197784,4187300
2021-09-23,228.440002,230.949997,228.050003,230.089996,226.929733,3778100
2021-09-24,228.550003,229.949997,228.190002,229.639999,227.200821,3122800
2021-09-27,229.160004,229.869995,228.509995,229.139999,226.706131,2856700
2021-09-28,227.649994,227.789993,224.050003,224.339996,221.957123,5078600
